,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,DOI
0,27682300,2016 Aug,,Acta Orthop Belg,"['Noh JH', 'Kyiung HS', 'Yoon KH', 'Roh YH']",Roh YH,Supplementary tibial fixation in anterior cruciate ligament reconstruction - Direct cortical fixation using spiked washer screw vs. post-tie using washer screw.,82,2,358-364,['English'],2985165R,0001-6462,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,['27682300'],"['2016/09/30 06:00', '2016/09/30 06:00', '2017/01/14 06:00']",[],1,0,Acta orthopaedica Belgica,,2016 Aug;82(2):358-364,
1,24488793,2014 Dec,2014 Jan 31,J Knee Surg,"['Koyonos L', 'Owsley K', 'Vollmer E', 'Limpisvasti O', 'Gambardella R']",Gambardella R,Preoperative cryotherapy use in anterior cruciate ligament reconstruction.,27,6,479-84,['English'],101137599,1538-8506,1938-2480,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['24488793', '10.1055/s-0034-1367730']","['2014/02/04 06:00', '2014/02/04 06:00', '2015/07/24 06:00']",[],1,0,The journal of knee surgery,doi: 10.1055/s-0034-1367730,2014 Dec;27(6):479-84,10.1055/s-0034-1367730
2,23538044,2013 May,2013 Mar 26,Arthroscopy,"['Noh JH', 'Roh YH', 'Yang BG', 'Yi SR', 'Lee SY']",Lee SY,Femoral tunnel position on conventional magnetic resonance imaging after anterior cruciate ligament reconstruction in young men: transtibial technique versus anteromedial portal technique.,29,5,882-90,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['23538044', '10.1016/j.arthro.2013.01.025', 'S0749-8063(13)00061-3']","['2012/04/06 00:00', '2013/01/14 00:00', '2013/01/22 00:00', '2013/03/30 06:00', '2013/03/30 06:00', '2013/10/01 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2013.01.025,2013 May;29(5):882-90,10.1016/j.arthro.2013.01.025
3,23369444,2013 Mar,2013 Jan 28,Arthroscopy,"['Noh JH', 'Yang BG', 'Yi SR', 'Roh YH', 'Lee JS']",Lee JS,Single-bundle anterior cruciate ligament reconstruction in active young men using bone-tendon achilles allograft versus free tendon achilles allograft.,29,3,507-13,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['23369444', '10.1016/j.arthro.2012.10.023', 'S0749-8063(12)01790-2']","['2012/02/23 00:00', '2012/10/21 00:00', '2012/10/23 00:00', '2013/02/02 06:00', '2013/02/02 06:00', '2013/10/01 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2012.10.023,2013 Mar;29(3):507-13,10.1016/j.arthro.2012.10.023
4,22732367,2012 Oct,2012 Jun 23,Arthroscopy,"['Noh JH', 'Yang BG', 'Yi SR', 'Roh YH', 'Lee JS']",Lee JS,Hybrid tibial fixation for anterior cruciate ligament reconstruction with Achilles tendon allograft.,28,10,1540-6,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['22732367', '10.1016/j.arthro.2012.03.012', 'S0749-8063(12)00204-6']","['2011/09/30 00:00', '2012/03/11 00:00', '2012/03/12 00:00', '2012/06/27 06:00', '2012/06/27 06:00', '2012/12/25 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2012.03.012,2012 Oct;28(10):1540-6,10.1016/j.arthro.2012.03.012
5,21290116,2011 May,2011 Feb 3,Knee Surg Sports Traumatol Arthrosc,"['Noh JH', 'Yi SR', 'Song SJ', 'Kim SW', 'Kim W']",Kim W,Comparison between hamstring autograft and free tendon Achilles allograft: minimum 2-year follow-up after anterior cruciate ligament reconstruction using EndoButton and Intrafix.,19,5,816-22,['English'],9314730,0942-2056,1433-7347,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['21290116', '10.1007/s00167-010-1388-6']","['2010/07/01 00:00', '2010/12/27 00:00', '2011/02/04 06:00', '2011/02/04 06:00', '2011/09/23 06:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-010-1388-6,2011 May;19(5):816-22,10.1007/s00167-010-1388-6
6,15363236,2004 Aug 22,,Zhonghua Wai Ke Za Zhi,"['Sun K', 'Tang JW', 'Xu Q', 'Liu XY', 'Zhou LG', 'Hao YQ', 'Wang L', 'Sun YJ']",Sun YJ,[A prospective study of the anterior cruciate ligament reconstruction: allograft versus autograft].,42,16,989-92,['Chinese'],0153611,0529-5815,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,['15363236'],"['2004/09/15 05:00', '2006/11/01 09:00', '2004/09/15 05:00']",[],1,0,Zhonghua wai ke za zhi [Chinese journal of surgery],,2004 Aug 22;42(16):989-92,
