,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO
10,38226736,2024 Feb,2024 Jan 7,Knee Surg Sports Traumatol Arthrosc,"['Martin RK', 'Marmura H', 'Wastvedt S', 'Pareek A', 'Persson A', 'Moatshe G', 'Bryant D', 'Wolfson J', 'Engebretsen L', 'Getgood A']",Getgood A,External validation of the Norwegian anterior cruciate ligament reconstruction revision prediction model using patients from the STABILITY 1 Trial.,32,2,206-213,['English'],9314730,0942-2056,1433-7347,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38226736', '10.1002/ksa.12031']",10.1002/ksa.12031,"['2023/11/10 00:00', '2023/09/14 00:00', '2023/12/05 00:00', '2024/02/11 16:43', '2024/01/16 13:42', '2024/01/16 08:34']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.12031,2024 Feb;32(2):206-213
11,38066516,2023 Dec 8,2023 Dec 8,BMC Surg,"['Ma W', 'Yang Y', 'Ha X']",Ha X,Two-stage ligament reconstruction with remnant preservation as treatment of knee dislocation.,23,1,371,['English'],100968567,,1471-2482,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,epublish,"['38066516', 'PMC10704695', 'pmc-id: PMC10704695;', '10.1186/s12893-023-02271-5', '10.1186/s12893-023-02271-5']",10.1186/s12893-023-02271-5,"['2023/02/15 00:00', '2023/11/19 00:00', '2023/12/17 09:45', '2023/12/09 10:45', '2023/12/09 00:05', '2023/12/08 00:00']",[],1,30,BMC surgery,doi: 10.1186/s12893-023-02271-5,2023 Dec 8;23(1):371
12,37499157,2023 Oct,,Altern Ther Health Med,"['Lan X', 'Huang J', 'Tian F', 'Wang S', 'Liu C', 'Wang J']",Wang J,Application of 3D-Printed Personalized Guide for Lateral Femoral Positioning in Anterior Cruciate Ligament Reconstruction of the Knee.,29,7,360-364,['English'],9502013,1078-6791,,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish,"['37499157', 'AT877']",,"['2023/10/23 12:44', '2023/07/27 19:10', '2023/07/27 15:43']",[],1,0,Alternative therapies in health and medicine,,2023 Oct;29(7):360-364
13,37270112,2024 Feb,2023 Jun 1,Arthroscopy,"['Rezansoff A', 'Firth AD', 'Bryant DM', 'Litchfield R', 'McCormack RG', 'Heard M', 'MacDonald PB', 'Spalding T', 'Verdonk PCM', 'Peterson D', 'Bardana D', 'STABILITY Study Group', 'Getgood AMJ']",Getgood AMJ,Anterior Cruciate Ligament Reconstruction Plus Lateral Extra-articular Tenodesis Has a Similar Return-to-Sport Rate to Anterior Cruciate Ligament Reconstruction Alone but a Lower Failure Rate.,40,2,384-396.e1,['English'],8506498,0749-8063,1526-3231,"['Randomized Controlled Trial', 'Multicenter Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['37270112', '10.1016/j.arthro.2023.05.019', 'S0749-8063(23)00422-X']",10.1016/j.arthro.2023.05.019,"['2022/10/13 00:00', '2023/03/02 00:00', '2023/05/17 00:00', '2024/02/02 06:43', '2023/06/04 01:08', '2023/06/03 19:26']",['Arthroscopy. 2024 Feb;40(2):397-399. doi: 10.1016/j.arthro.2023.06.057. PMID: 38296443'],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2023.05.019,2024 Feb;40(2):384-396.e1
14,36988698,2023 Oct,2023 Mar 29,Eur J Orthop Surg Traumatol,"['Mousavi SH', 'Radi M', 'Kazemi D', 'Izadpanah F', 'Shahrouzian A']",Shahrouzian A,Evaluation the results of anterior cruciate ligament reconstruction with or without using antibiotic solution during graft preparation.,33,7,3033-3036,['English'],9518037,1633-8065,1432-1068,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['36988698', '10.1007/s00590-023-03522-0', '10.1007/s00590-023-03522-0']",10.1007/s00590-023-03522-0,"['2023/01/06 00:00', '2023/03/06 00:00', '2023/09/18 12:42', '2023/03/30 06:00', '2023/03/29 11:15']",[],1,0,European journal of orthopaedic surgery & traumatology : orthopedie traumatologie,doi: 10.1007/s00590-023-03522-0,2023 Oct;33(7):3033-3036
15,36856280,2023 Mar,,Am J Sports Med,"['Kuliński K', 'Waśko MK', 'Tramś E', 'Malesa K', 'Pomianowski S', 'Kamiński R']",Kamiński R,"Anterior Cruciate Ligament Reconstruction Using a 4-Strand Semitendinosus Tendon Graft or a Doubled Semitendinosus and Gracilis Tendon Graft: A 4.5-Year Prospective, Randomized, Double-Blind, Parallel-Group Study.",51,3,615-626,['English'],7609541,0363-5465,1552-3365,"['Randomized Controlled Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish,"['36856280', '10.1177/03635465221149738']",10.1177/03635465221149738,"['2023/03/01 08:24', '2023/03/02 06:00', '2023/03/03 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/03635465221149738,2023 Mar;51(3):615-626
16,36750662,2023 Feb 7,2023 Feb 7,Sci Rep,"['Saki F', 'Shafiee H', 'Tahayori B', 'Ramezani F']",Ramezani F,The effects of core stabilization exercises on the neuromuscular function of athletes with ACL reconstruction.,13,1,2202,['English'],101563288,,2045-2322,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['36750662', 'PMC9905573', 'pmc-id: PMC9905573;', '10.1038/s41598-023-29126-6', '10.1038/s41598-023-29126-6']",10.1038/s41598-023-29126-6,"['2022/07/12 00:00', '2023/01/31 00:00', '2023/02/07 23:50', '2023/02/08 06:00', '2023/02/10 06:00', '2023/02/07 00:00']",[],1,54,Scientific reports,doi: 10.1038/s41598-023-29126-6,2023 Feb 7;13(1):2202
17,36646169,2023 Aug,2023 Jan 14,J ISAKOS,"['Heard M', 'Marmura H', 'Bryant D', 'Litchfield R', 'McCormack R', 'MacDonald P', 'Spalding T', 'Verdonk P', 'Peterson D', 'Bardana D', 'Rezansoff A', 'STABILITY Study Group', 'Getgood A']",Getgood A,No increase in adverse events with lateral extra-articular tenodesis augmentation of anterior cruciate ligament reconstruction - Results from the stability randomized trial.,8,4,246-254,['English'],101680867,2059-7754,2059-7762,"['Randomized Controlled Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['36646169', '10.1016/j.jisako.2022.12.001', 'S2059-7754(22)00114-6']",10.1016/j.jisako.2022.12.001,"['2022/08/10 00:00', '2022/12/02 00:00', '2022/12/08 00:00', '2023/08/22 06:42', '2023/01/17 06:00', '2023/01/16 19:23']",['J ISAKOS. 2023 Dec;8(6):513. doi: 10.1016/j.jisako.2023.09.006. PMID: 37845163'],1,0,Journal of ISAKOS : joint disorders & orthopaedic sports medicine,doi: 10.1016/j.jisako.2022.12.001,2023 Aug;8(4):246-254
18,36463165,2022 Dec 3,2022 Dec 3,BMC Musculoskelet Disord,"['Xu C', 'Liu T', 'Wang M', 'Liu C', 'Li B', 'Lian Q', 'Chen T', 'Chen F', 'Qiao S', 'Wang Z']",Wang Z,Comparison of proprioception recovery following anterior cruciate ligament reconstruction using an artificial graft versus an autograft.,23,1,1056,['English'],100968565,,1471-2474,"['Randomized Controlled Trial', 'Journal Article']",PubMed - indexed for MEDLINE,epublish,"['36463165', 'PMC9719127', 'pmc-id: PMC9719127;', '10.1186/s12891-022-06019-9', '10.1186/s12891-022-06019-9']",10.1186/s12891-022-06019-9,"['2022/05/06 00:00', '2022/11/23 00:00', '2022/12/03 23:18', '2022/12/04 06:00', '2022/12/07 06:00', '2022/12/03 00:00']",[],1,39,BMC musculoskeletal disorders,doi: 10.1186/s12891-022-06019-9,2022 Dec 3;23(1):1056
19,36055668,2022,,Acta Chir Orthop Traumatol Cech,"['Kasl J', 'Zeman P', 'Pavelka T', 'Cibulková J', 'Pilný J', 'Matějka J']",Matějka J,[Clinical Outcomes of the Application of Platelet-Rich Fibrin during Anatomic Anterior Cruciate Ligament Reconstruction: Results of Prospective Randomised Study].,89,4,279-285,['Czech'],0407123,0001-5415,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,['36055668'],,"['2022/09/02 20:02', '2022/09/03 06:00', '2022/09/08 06:00']",[],1,0,Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca,,2022;89(4):279-285
