,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,41722485,2026 Jun,2026 Feb 20,Knee,"['Arora M', 'Tapasvi S', 'Shah J']",Shah J,Anterior cruciate ligament reconstruction using peroneus longus with lateral extra-articular tenodesis has excellent functional outcomes with a high return to sport rate: A prospective cohort study of 482 patients over 2 years.,60,,104404,['English'],9430798,0968-0160,1873-5800,['Journal Article'],PubMed - indexed for MEDLINE,ppublish+epublish,"['41722485', '10.1016/j.knee.2026.104404', 'S0968-0160(26)00082-7']",10.1016/j.knee.2026.104404,"['2025/11/05 00:00', '2026/01/24 00:00', '2026/02/09 00:00', '2026/04/19 17:44', '2026/02/22 05:34', '2026/02/21 18:10']",[],1,0,The Knee,doi: 10.1016/j.knee.2026.104404,2026 Jun;60:104404,"INTRODUCTION: As our understanding of anterolateral rotatory instability (ALRI) has improved, there has been a shift towards a combined procedure of anterior cruciate ligament (ACL) reconstruction and lateral extra-articular procedure (LEAP) to reduce ALRI and decrease graft re-rupture rates. The purpose of the present prospective cohort study was to assess the outcomes, return to sport and complication rate with lateral extra-articular tenodesis (LET) in those with high grade or explosive pivot shift tests. METHODS: Ethics approval was obtained from the institutional ethics review committee. A total of 500 consecutive patients with ALRI were recruited for undergoing the combined procedure of ACLR with LET over a 1-year period. Demographic variables (age and gender) and functional outcome scores (International Knee Documentation Committee (IKDC), Lysholm, Visual Analogue Scale (VAS), American Orthopaedic Foot and Ankle Score and Functional Ankle Disability Index) were recorded pre-operatively and followed up at 3 months, 6 months, 1 year and 2 years post-surgery. Complications (pain, stiffness, residual laxity, re-rupture, infection, implant complications, shape change phenomenon) and return to sport were recorded. RESULTS: Of the 500 patients recruited, 482 patients (96.4%) completed the 2-year follow up. The mean age of the study population was 26.4 +/- 2.1 years and 88% were males. VAS, IKDC and Lysholm scores showed significant improvement at each time frame during the study period and significant improvement at end of the study period versus baseline. Return to sport was achieved in 92% of study participants at an average period of 8.5 +/- 1.6 months post-surgery with return to pre-injury level of 81%. Re-rupture rate was low (1.8%), and the most common complication was shape change phenomenon (a change in the shape of the knee compared with the contralateral knee; 18%). CONCLUSION: The present high-powered prospective cohort study shows that ACLR with LET provides yields excellent functional outcomes with a high return to sport rate and moderate complication rate in high-risk patients.",2026
1,40980562,2025 Sep,2025 Sep 17,Orthop J Sports Med,"['Kumar K', 'Rao V', 'Panda AK', 'Joshi D']",Joshi D,Peroneus Longus Tendon Versus Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Comparative Studies.,13,9,23259671251374313,['English'],101620522,2325-9671,2325-9671,"['Journal Article', 'Review']",PubMed,,"['40980562', 'PMC12444037', 'pmc-id: PMC12444037;', '10.1177/23259671251374313', '10.1177_23259671251374313']",10.1177/23259671251374313,"['2025/04/10 00:00', '2025/05/06 00:00', '2025/09/22 12:47', '2025/09/22 12:46', '2025/09/22 08:26', '2025/09/17 00:00']",[],1,48,Orthopaedic journal of sports medicine,doi: 10.1177/23259671251374313,2025 Sep;13(9):23259671251374313,"BACKGROUND: Anterior cruciate ligament reconstruction (ACLR) is a common orthopaedic procedure for which various graft options can be used. This systematic review and meta-analysis aimed to compare the efficacy of the peroneus longus tendon (PLT) and hamstring tendon (HT) autografts for primary ACLR. HYPOTHESIS: There would be no significant difference in patient outcomes between PLT and HT autografts in ACLR. STUDY DESIGN: Systematic review; Level of evidence, 3. METHODS: Adhering to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines, a thorough literature search was conducted on February 10, 2024, across the PubMed, Cochrane CENTRAL, and Scopus databases. The aim was to identify comparative studies investigating the effectiveness of PLT and HT autografts for primary ACLR. The initial literature search retrieved 96 studies. Ten studies met the eligibility criteria for inclusion. Data analysis was performed using RevMan Version 5.4.1. Functional scores, graft characteristics, donor site morbidity, and failure rates were compared. RESULTS: Ten studies involving 949 patients were included. Both the PLT and HT groups showed comparable functional outcomes, knee stability, and graft failure rates. PLT autografts demonstrated a larger mean graft diameter (8.63 mm vs 8.08 mm) and lower incidence of donor site morbidity (7.48% vs 22.01%) than HT autografts. There was a statistically significant mean difference (MD) favoring PLT autografts in the modified Cincinnati score (MD, 3.33; 95% CI, 1.84 to 4.81; P < .0001) and thigh circumference (MD, -7.62 mm; 95% CI, -8.90 to -6.33; P < .00001). CONCLUSION: This review showed that both PLT and HT autografts are effective options for primary ACLR, with similar functional outcomes and knee stability. PLT autografts offer advantages in terms of graft diameter and donor site morbidity. Further research is warranted to confirm these findings and guide clinical decision-making in ACLR practice.",2025
2,40734172,2025 Jul 29,2025 Jul 29,J Orthop Surg Res,"['Opoku M', 'Abdramane AM', 'Abdirahman A', 'Fang M', 'Li Y', 'Xiao W']",Xiao W,Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of comparative studies.,20,1,719,['English'],101265112,,1749-799X,"['Journal Article', 'Systematic Review', 'Meta-Analysis', 'Comparative Study']",PubMed - indexed for MEDLINE,epublish,"['40734172', 'PMC12308993', 'pmc-id: PMC12308993;', '10.1186/s13018-025-06080-9', '10.1186/s13018-025-06080-9']",10.1186/s13018-025-06080-9,"['2025/05/25 00:00', '2025/07/01 00:00', '2025/07/30 06:31', '2025/07/30 06:30', '2025/07/30 01:20', '2025/07/29 00:00']",[],1,88,Journal of orthopaedic surgery and research,doi: 10.1186/s13018-025-06080-9,2025 Jul 29;20(1):719,"PURPOSE: To perform a meta-analysis to compare and critically evaluate the short and medium-term clinical outcomes of peroneus longus tendon autograft and hamstring tendon autograft in anterior cruciate ligament (ACL) reconstruction. The study further evaluates the viability of the PLT autograft as a non-inferior alternative to the conventional HT autograft. METHOD: We independently searched the following electronic databases: PubMed, Cochrane Library, Embase, and Web of Science for all relevant articles from inception to March 2025, in only the English language. Clinical outcomes included: IKDC score, Lysholm score, Tegner score, Tegner-Lysholm score, Visual-Analog-Scale (VAS) score, American Orthopaedic Foot and Ankle Society (AOFAS) score, Modified Cincinnati score, graft diameter, thigh circumference, graft harvest time, Knee laxity & stability (Lachman test, Pivot Shift test, and Anterior Drawer test), and Donor-site morbidity. Funnel plots were used to detect publication bias. All statistical analysis was performed using R (version 4.1.3). RESULTS: A total of 25 studies, 9 RCTs, and 16 cohort studies containing 1944 patients were included in this analysis. No statistically significant differences were observed between PLT and HT autografts in functional outcomes, including Tegner scores, Lysholm scores, Tegner-Lysholm scores, VAS scores, or objective measures of knee stability and laxity across all follow-up periods. Notably, the PLT group demonstrated superior outcomes compared to the HT group, including significantly larger graft diameter, reduced graft harvesting time, improved Modified Cincinnati Scores at both 12- and 24-month follow-ups, and lower donor-site morbidity rates. Despite significantly higher IKDC scores in the PLT group at 6 months postoperatively, no significant differences were observed at 12-, and 18, 24, or 36-month follow-up. Conversely, PLT groups had slightly lower AOFAS scores at 12 or 24 months follow-up than the HT group. CONCLUSION: The PLT autograft demonstrates comparable clinical outcomes to HT autograft in ACL reconstruction while offering distinct advantages, including significantly larger graft diameter, reduced harvest time, and lower donor-site morbidity. These benefits, coupled with equivalent postoperative functional results, position the PLT autograft as a promising alternative to traditional HT autograft. Long-term follow-up and higher-quality studies are needed to support our results and further investigate the differences between PLT autograft and HT autograft. LEVEL OF EVIDENCE: Level III.",2025
3,38755499,2024 Jul,2024 May 16,Eur J Orthop Surg Traumatol,"['Park JY', 'Fernandes A', 'Park SY', 'Lim H', 'Sayudo IF', 'Leibovitch L', 'Machinski E', 'Ha J']",Ha J,Comparative effectiveness of peroneus longus tendon (PLT) autografts versus hamstring tendon (HT) autografts in anterior cruciate ligament reconstruction: a comprehensive systematic review and meta analysis.,34,5,2691-2699,['English'],9518037,1633-8065,1432-1068,"['Journal Article', 'Systematic Review', 'Meta-Analysis', 'Comparative Study']",PubMed - indexed for MEDLINE,ppublish+epublish,"['38755499', 'PMC11291530', 'pmc-id: PMC11291530;', '10.1007/s00590-024-03984-w', '10.1007/s00590-024-03984-w']",10.1007/s00590-024-03984-w,"['2024/03/20 00:00', '2024/04/30 00:00', '2024/08/01 00:42', '2024/05/17 00:43', '2024/05/16 23:36', '2024/05/16 00:00']",[],1,25,European journal of orthopaedic surgery & traumatology : orthopedie traumatologie,doi: 10.1007/s00590-024-03984-w,2024 Jul;34(5):2691-2699,"The hamstring tendon (HT) autograft is currently the most widely utilised autograft option for anterior cruciate ligament (ACL) reconstruction. However, recent studies endorse the peroneus longus tendon (PLT) autograft as a viable alternative. To evaluate this, we systematically reviewed randomised controlled trials (RCTs) to compare the efficacy of PLT against HT autografts. Our search encompassed Cochrane, Embase, OVID, PubMed, and Scopus databases for RCTs comparing outcomes of PLT and HT autografts in ACL reconstruction. Primary outcomes included Lysholm and International Knee Documentation Committee (IKDC) scores, while secondary outcomes involved American Orthopaedic Foot and Ankle Society (AOFAS) scores, graft diameters and donor-site complications. Statistical analysis was performed using Review Manager 5.4 (Cochrane Collaboration) and heterogeneity was assessed with I(2) statistics. 683 patients from 6 RCTs were included, with 338 (49.5%) patients treated with PLT autografts. Follow-up ranged from 12 to 30 months. Despite lower preoperative Lysholm scores in the PLT group, no significant differences were observed at 6 and 12 months. Although preoperative and 6-month IKDC scores were lower in the PLT group, no significant differences were found at 12 and 24 months. AOFAS scores showed no significant preoperative difference, but slightly lower scores were noted in the PLT group at 12 or 24 months. There was no significant difference in graft diameter, while donor-site complications were fewer in the PLT group. In summary, the PLT autograft is a promising and non-inferior alternative to the HT autograft, demonstrating equivalent outcomes in patient-reported knee and ankle metrics, comparable graft diameters and fewer donor-site complications.",2024
4,37898307,2024 Apr,2023 Oct 26,Arthroscopy,"['Quinn M', 'Byrne RA', 'Albright JA', 'Testa E', 'Ahn B', 'Lemme N', 'Petit L', 'Blankenhorn B', 'Owens BD']",Owens BD,Peroneus Longus Tendon Autograft May Present a Viable Alternative for Anterior Cruciate Ligament Reconstruction: A Systematic Review.,40,4,1366-1376.e1,['English'],8506498,0749-8063,1526-3231,"['Systematic Review', 'Journal Article']",PubMed - indexed for MEDLINE,ppublish+epublish,"['37898307', '10.1016/j.arthro.2023.10.016', 'S0749-8063(23)00860-5']",10.1016/j.arthro.2023.10.016,"['2023/07/08 00:00', '2023/10/04 00:00', '2023/10/10 00:00', '2024/03/19 06:44', '2023/10/29 06:46', '2023/10/28 19:28']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2023.10.016,2024 Apr;40(4):1366-1376.e1,"PURPOSE: To examine the available literature to better understand the objective and patient-reported outcomes using peroneus longus tendon (PLT) autograft compared with more commonly used autografts, such as the quadrupled hamstring tendons (HT), in patients undergoing primary for anterior cruciate ligament reconstruction (ACLR). METHODS: A comprehensive search of published literature in PubMed, Web of Science, Cochrane Library, Ovid, and EMBASE databases was performed according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Inclusion criteria included patients undergoing ACLR with PLT autograft, inclusion of patient-recorded outcome measures, and availability in English language. Publications that included only biomechanical analysis or ACLR with use of allograft or combination grafts were excluded. RESULTS: A total of 16 studies (Level of Evidence range: I-IV) met inclusion criteria, with follow-up ranging from 3 months to 5 years. In the available case series, patient-reported outcomes ranged from Lysholm = 80.7 to 95.1, International Knee Documentation Committee 78.1 to 95.7. In prospective cohorts and randomized controlled trials, PLT performance was comparable with HT autografts (PLT/HT: Lysholm = 88.3-95.1/86.5-94.9, International Knee Documentation Committee = 78.2-92.5/87.4-93.4). The majority of PLT grafts diameters were equal or greater than HT counterparts with a mean of >8 mm (PLT/HT: 7.0-9.0 mm/7.65-8.5 mm). There was minimal donor-site morbidity associated with PLT harvest. CONCLUSIONS: Although limitations exist within the available literature, existing evidence suggests that PLT autograft routinely produces adequately sized grafts with comparable early outcomes to HT autograft and low risk of donor-site morbidity. However, the PLT autograft is yet to demonstrate superiority to any of the more-traditional autograft selections. LEVEL OF EVIDENCE: Level IV, systematic review of Level I-IV studies.",2024
5,35428007,2022 May,2022 Apr 1,Clin Biomech (Bristol),"['Malige A', 'Baghdadi S', 'Hast MW', 'Schmidt EC', 'Shea KG', 'Ganley TJ']",Ganley TJ,Biomechanical properties of common graft choices for anterior cruciate ligament reconstruction: A systematic review.,95,,105636,['English'],8611877,0268-0033,1879-1271,"['Journal Article', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['35428007', '10.1016/j.clinbiomech.2022.105636', 'S0268-0033(22)00066-3']",10.1016/j.clinbiomech.2022.105636,"['2021/10/02 00:00', '2022/03/21 00:00', '2022/03/25 00:00', '2022/04/16 06:00', '2022/05/27 06:00', '2022/04/15 20:17']",[],1,0,"Clinical biomechanics (Bristol, Avon)",doi: 10.1016/j.clinbiomech.2022.105636,2022 May;95:105636,"BACKGROUND: This systematic review explores the differences in the intrinsic biomechanical properties of different graft sources used in anterior cruciate ligament (ACL) reconstruction as tested in a laboratory setting. METHODS: Following Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, two authors conducted a systematic review exploring the biomechanical properties of ACL graft sources (querying PubMed, Cochrane, and Embase databases). Using the keywords ""anterior cruciate ligament graft,"" ""biomechanics,"" and ""biomechanical testing,"" relevant articles of any level of evidence were identified as eligible and included if they reported on the biomechanical properties of skeletally immature or mature ACL grafts solely and if the grafts were studied in vitro, in isolation, and under similar testing conditions. Studies were excluded if performed on both skeletally immature and mature or non-human grafts, or if the grafts were tested after fixation in a cadaveric knee. For each graft, failure load, stiffness, Young's modulus, maximum stress, and maximum strain were recorded. FINDINGS: Twenty-six articles were included. Most studies reported equal or increased biomechanical failure load and stiffness of their tested bone-patellar tendon-bone, hamstring, quadriceps, peroneus longus, tibialis anterior and posterior, Achilles, tensor fascia lata, and iliotibial band grafts compared to the native ACL. All recorded biomechanical properties had similar values between graft types. INTERPRETATION: Most grafts used for ACL reconstruction are biomechanically superior to the native ACL. Utilizing a proper graft, combined with a standard surgical technique and a rigorous rehabilitation before and after surgery, will improve outcomes of ACL reconstruction.",2022
6,34062359,2021 Jun,2021 May 26,Int J Surg Case Rep,"['Wiradiputra AE', 'Febyan', 'Aryana GNW']",Aryana GNW,Peroneus longus tendon graft for anterior cruciate ligament reconstruction: A case report and review of literature.,83,,106028,['English'],101529872,2210-2612,2210-2612,['Journal Article'],PubMed,ppublish+epublish,"['34062359', 'PMC8178071', 'pmc-id: PMC8178071;', '10.1016/j.ijscr.2021.106028', 'S2210-2612(21)00530-7']",10.1016/j.ijscr.2021.106028,"['2021/05/10 00:00', '2021/05/21 00:00', '2021/05/21 00:00', '2021/06/02 06:00', '2021/06/02 06:01', '2021/06/01 20:17', '2021/05/26 00:00']",[],1,19,International journal of surgery case reports,doi: 10.1016/j.ijscr.2021.106028,2021 Jun;83:106028,"INTRODUCTION: The anterior cruciate ligament (ACL) is one of the most frequently injured structures of the knee joint. Anterior cruciate ligament reconstruction (ACLR) provides surgical restoration of the injured ACL using the placement of graft material. The choice of graft is principal in providing optimal knee stability after surgery. Peroneus longus tendon (PLT) is an autograft modality that offers unique benefits for ACL reconstruction cases. PRESENTATION OF CASE: We present a case of ACL reconstruction surgery using PLT graft in a patient with a confirmed ACL rupture. Assessment of post-surgical pain, knee stability, and ankle function were performed to determine functional outcome and donor site morbidity. The follow-up results revealed favorable recovery and improvement in all objective parameters. DISCUSSION: Post-operative biomechanical outcomes were evaluated using the International Knee Documentation Committee (IKDC) and the American Orthopedic Foot and Ankle Score (AOFAS) score. The use of PLT in ACL reconstruction established an excellent potential for its satisfactory result and comparable to other graft modalities in widely used evidence-based findings. CONCLUSION: Peroneus longus tendon may be considered the first-option graft in ACL reconstruction as it indicated the absence of significant post-operative morbidity.",2021
7,32984919,2021 Sep,2020 Sep 27,Knee Surg Sports Traumatol Arthrosc,"['He J', 'Tang Q', 'Ernst S', 'Linde MA', 'Smolinski P', 'Wu S', 'Fu F']",Fu F,Peroneus longus tendon autograft has functional outcomes comparable to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis.,29,9,2869-2879,['English'],9314730,0942-2056,1433-7347,"['Journal Article', 'Meta-Analysis', 'Systematic Review']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32984919', '10.1007/s00167-020-06279-9', '10.1007/s00167-020-06279-9']",10.1007/s00167-020-06279-9,"['2020/07/20 00:00', '2020/09/10 00:00', '2020/09/29 06:00', '2021/08/27 06:00', '2020/09/28 05:48']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-020-06279-9,2021 Sep;29(9):2869-2879,"PURPOSE: This review aimed to assess whether peroneus longus tendon (PLT) autograft would have comparable functional outcomes and graft survival rates when compared to hamstring tendon (HT) autograft for anterior cruciate ligament (ACL) reconstruction. METHODS: PubMed, Web of Science, Cochrane Library, Ovid (MEDICINE), and EMBASE databases were queried for original articles from clinical studies including the keywords: ACL reconstruction and PLT autograft. Studies comparing PLT autograft versus HT autograft were included in this analysis and the following data were extracted from studies meeting the inclusion criteria: graft diameter, functional outcomes (Tegner activity scale, Lysholm score, and International Knee Documentation Committee (IKDC) subjective score), knee laxity (Lachman test), and complications (donor site pain or paresthesia, graft failure). Besides, the American Orthopaedic Foot and Ankle Society (AOFAS) scale and the Foot and Ankle Disability Index (FADI) pre-operation and at last follow-up were also compared among patients using PLT autograft. Meta-analysis was applied using Review Manager 5.3 and p < 0.05 was considered statistically significant. RESULTS: Twenty-three studies including 925 patients with ACL reconstruction met inclusion criteria. Of these, 5 studies included a direct comparison of PLT autograft (164 patients) versus HT autograft (174 patients). No significant difference was observed between PLT and HT autografts for Tegner activity scale, Lachman test, donor site pain, or graft failure. However, PLT groups demonstrated better Lysholm score (mean difference between PLT and HT groups, 1.55; 95% CI 0.20-2.89; p = 0.02) and IKDC subjective score (mean difference between PLT and HT groups, 3.24; 95% CI 0.29-6.19; p = 0.03). No difference of FADI was found (n.s.) but AOFAS was slightly decreased at last post-operative follow-up for patients with PLT autograft compared with pre-operative scores (mean difference of 0.31, 95% CI 0.07-0.54, p = 0.01). CONCLUSION: PLT autograft demonstrated comparable functional outcomes and graft survival rates compared with HT autograft for ACL reconstruction. However, a slight decrease in AOFAS score should be considered during surgical planning. Hence, the PLT is a suitable autograft harvested outside the knee for ACL reconstruction to avoid the complication of quadriceps-hamstring imbalance which can occur when harvesting autografts from the knee. LEVEL OF EVIDENCE: Level II.",2021
