,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,DOI,abstract,year
0,27682300,2016 Aug,,Acta Orthop Belg,"['Noh JH', 'Kyiung HS', 'Yoon KH', 'Roh YH']",Roh YH,Supplementary tibial fixation in anterior cruciate ligament reconstruction - Direct cortical fixation using spiked washer screw vs. post-tie using washer screw.,82,2,358-364,['English'],2985165R,0001-6462,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,['27682300'],"['2016/09/30 06:00', '2016/09/30 06:00', '2017/01/14 06:00']",[],1,0,Acta orthopaedica Belgica,,2016 Aug;82(2):358-364,,"We compare clinical outcomes of two different supplementary tibial fixation in anterior cruciate ligament (ACL) reconstruction using free tendon Achilles allograft. Eighty subjects underwent ACL reconstruction using Endobutton CL for femoral fixation and Bio-interference screw for tibial fixation. Supplementary tibial fixation was performed as direct -cortical fixation using spiked washer screw (group I) or as post-tie using washer screw (group II). -Lachman test, pivot shift test, IKDC classification, Lysholm score, and side-to-side difference (SSD) were evaluated. Thirty six in group I and thirty five in group II could follow up for at least 2 years. At the last follow-up, 7 in group I and 1 in group II showed 2+ or 3+ in Lachman test (p = 0.027). Mean SSD was 2.4mm in group I and 1.4mm in group II (p = 0.048). Post-tie using washer screw was more effective than direct cortical fixation using spiked washer screw to restore stability. Level of evidence : Therapeutic Level I ; Randomized controlled clinical trial.",2016
1,24488793,2014 Dec,2014 Jan 31,J Knee Surg,"['Koyonos L', 'Owsley K', 'Vollmer E', 'Limpisvasti O', 'Gambardella R']",Gambardella R,Preoperative cryotherapy use in anterior cruciate ligament reconstruction.,27,6,479-84,['English'],101137599,1538-8506,1938-2480,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['24488793', '10.1055/s-0034-1367730']","['2014/02/04 06:00', '2014/02/04 06:00', '2015/07/24 06:00']",[],1,0,The journal of knee surgery,doi: 10.1055/s-0034-1367730,2014 Dec;27(6):479-84,10.1055/s-0034-1367730,"Unrelieved postoperative pain may impair rehabilitation, compromise functional outcomes, and lead to patient dissatisfaction. Preemptive multimodal analgesic techniques may improve outcomes after surgery. We hypothesized that patients using preoperative cryotherapy plus a standardized postoperative treatment plan will have lower pain scores and require less pain medication compared with patients receiving a standardized postoperative treatment plan alone after arthroscopically assisted anterior cruciate ligament reconstruction (ACLR). A total of 53 consecutive patients undergoing arthroscopically assisted ACLR performed by one of seven surgeons were randomly assigned to one of two groups. Group 1 received no preoperative cryotherapy and group 2 received 30 to 90 minutes of preoperative cryotherapy to the operative leg using a commercial noncompressive cryotherapy unit. Visual analog scale pain scores and narcotic use were recorded for the first 4 days postoperatively. Total hours of cold therapy and continuous passive motion (CPM) use and highest degree of flexion achieved were recorded as well. Group 1 consisted of 26 patients (15 allograft Achilles tendon and 11 autograft bone patellar tendon bone [BPTB]), and group 2 consisted of 27 patients (16 allograft Achilles tendon and 11 autograft BPTB). Group 2 patients reported less pain (average 1.3 units, p < 0.02) and used less narcotic use (average 1.7 tablets, p < 0.02) for the first 36 hours compared with group 1. No statistically significant differences were identified between the two groups with regard to demographics, hours of postoperative cryotherapy, hours of CPM use, or maximum knee flexion achieved. Complications did not occur in either group. This is the first report we are aware of showing the postoperative effects of preoperative cryotherapy. Our results support the safety and efficacy of preoperative cryotherapy in a multimodal pain regimen for patients undergoing ACL reconstruction.",2014
2,23538044,2013 May,2013 Mar 26,Arthroscopy,"['Noh JH', 'Roh YH', 'Yang BG', 'Yi SR', 'Lee SY']",Lee SY,Femoral tunnel position on conventional magnetic resonance imaging after anterior cruciate ligament reconstruction in young men: transtibial technique versus anteromedial portal technique.,29,5,882-90,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['23538044', '10.1016/j.arthro.2013.01.025', 'S0749-8063(13)00061-3']","['2012/04/06 00:00', '2013/01/14 00:00', '2013/01/22 00:00', '2013/03/30 06:00', '2013/03/30 06:00', '2013/10/01 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2013.01.025,2013 May;29(5):882-90,10.1016/j.arthro.2013.01.025,"PURPOSE: The purpose of this study was to compare clinical outcomes after single-bundle anterior cruciate ligament (ACL) reconstruction with a free Achilles tendon allograft using either a transtibial or an anteromedial portal technique and then to quantify the difference in femoral tunnel position between these 2 approaches. This assessment was to be performed with a new method using conventional magnetic resonance imaging (MRI) with a digital imaging system. METHODS: In this prospective randomized comparative study, 53 young male patients with ACL rupture underwent ACL reconstruction with the transtibial technique (group 1) or the anteromedial portal technique (group 2). We assessed clinical outcomes with the Lachman test, pivot shift test, International Knee Documentation Committee (IKDC) classification, Lysholm score, Tegner activity scale, and single leg hop (SLH) test. Radiologic assessments included the position of the femoral tunnel aperture and the posterior cruciate ligament (PCL) index on conventional MRI and the side-to-side difference (SSD) on stress radiographs. RESULTS: Sixty-one participants had follow-up. The mean follow-up period was 30.2 months. At the last follow-up, there were no significant differences between the 2 groups in results from the Lachman test, pivot shift test, IKDC classification, Tegner activity scale, and SLH test. The Lysholm score and SSD results in group 2 were superior to those in group 1 (P < .001). The femoral tunnel aperture was positioned more posteriorly in group 2 than in group 1 (P < .001). Changes in the PCL index were greater in group 1 than in group 2 (P < .001). CONCLUSIONS: The position of the femoral tunnel aperture created with the anteromedial portal technique was more posterior than that made with the transtibial technique. Knees reconstructed with the anteromedial portal technique were more stable in Telos testing, and were 3 points higher on the Lysholm score. However, there were no statistically significant differences in the Tegner activity scale or IKDC classification between the 2 groups. LEVEL OF EVIDENCE: Therapeutic level I, randomized controlled clinical trial.",2013
3,23369444,2013 Mar,2013 Jan 28,Arthroscopy,"['Noh JH', 'Yang BG', 'Yi SR', 'Roh YH', 'Lee JS']",Lee JS,Single-bundle anterior cruciate ligament reconstruction in active young men using bone-tendon achilles allograft versus free tendon achilles allograft.,29,3,507-13,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['23369444', '10.1016/j.arthro.2012.10.023', 'S0749-8063(12)01790-2']","['2012/02/23 00:00', '2012/10/21 00:00', '2012/10/23 00:00', '2013/02/02 06:00', '2013/02/02 06:00', '2013/10/01 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2012.10.023,2013 Mar;29(3):507-13,10.1016/j.arthro.2012.10.023,"PURPOSE: The purpose was to prospectively compare the outcomes of anterior cruciate ligament (ACL) reconstruction using bone-tendon Achilles allograft with those of free tendon Achilles allograft in 2 groups of active young men. METHODS: We enrolled 72 subjects in the study. Of these, 33 subjects who had ACL reconstruction with Achilles allograft with calcaneal bone block on its end (group I) and 34 who had ACL reconstruction with free tendon Achilles allograft (group II) were followed up for a minimum of 2 years. The Lachman test, pivot-shift test, and 1-leg hop test were evaluated at the last follow-up. The International Knee Documentation Committee classification, Lysholm score, and side-to-side difference were assessed preoperatively and at the last follow-up. The Tegner activity scale was evaluated before injury and at the last follow-up. RESULTS: The mean follow-up period was 30.9 months (range, 26 to 38 months). At the last follow-up, there were no statistically significant differences between the 2 groups for the Lachman test, pivot-shift test, 1-leg hop test, International Knee Documentation Committee classification, Lysholm score, and side-to-side difference (P > .05). Three subjects in group I and three in group II showed an activity level 2 steps below the preinjury activity level. The rest of the subjects returned to the preinjury activity level or showed a level 1 step below the preinjury activity level. CONCLUSIONS: There were no significant differences in clinical outcomes of ACL reconstructions using Achilles allograft between the bone-tendon group and the free tendon group in active young men. Free tendon Achilles allograft may be considered an option for ACL reconstruction. LEVEL OF EVIDENCE: Level II, therapeutic study, randomized controlled trial.",2013
4,22732367,2012 Oct,2012 Jun 23,Arthroscopy,"['Noh JH', 'Yang BG', 'Yi SR', 'Roh YH', 'Lee JS']",Lee JS,Hybrid tibial fixation for anterior cruciate ligament reconstruction with Achilles tendon allograft.,28,10,1540-6,['English'],8506498,0749-8063,1526-3231,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['22732367', '10.1016/j.arthro.2012.03.012', 'S0749-8063(12)00204-6']","['2011/09/30 00:00', '2012/03/11 00:00', '2012/03/12 00:00', '2012/06/27 06:00', '2012/06/27 06:00', '2012/12/25 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2012.03.012,2012 Oct;28(10):1540-6,10.1016/j.arthro.2012.03.012,"PURPOSE: To compare clinical outcomes of tibial fixation between a biodegradable interference screw only and a biodegradable interference screw supplemented by a post-tie using a washer screw in single-bundle anterior cruciate ligament (ACL) reconstruction with 2-strand free tendon Achilles allograft in active young men. METHODS: A prospective study was performed in 80 subjects who underwent single-bundle ACL reconstruction. A 2-strand free tendon Achilles allograft fixed with an EndoButton (Smith & Nephew, Andover, MA) in the femoral tunnel and with a Bio-Interference screw (Arthrex, Naples, FL) in the tibial tunnel was used in group I. Supplementary fixation was performed with a post-tie using a washer screw in group II. The Lachman test, pivot-shift test, International Knee Documentation Committee classification, Lysholm score, range of knee motion, and side-to-side difference were evaluated preoperatively and at the last follow-up. The Tegner activity scale was evaluated before injury and at the last follow-up. The 1-leg hop test was assessed at the last follow-up. RESULTS: Of the patients, 36 in group I and 35 in group II could be followed up for at least 2 years. At the last follow-up, 7 patients in group I and 1 in group II showed a 2+ or 3+ on the Lachman test (P = .027). The mean side-to-side difference was 2.9 +/- 2.3 mm in group I and 1.4 +/- 1.6 mm in group II at the last follow-up (P = .002). The other clinical outcomes were not significantly different between the 2 groups. CONCLUSIONS: Supplementary tibial fixation with a post-tie in ACL reconstruction using 2-strand free tendon Achilles allograft was more effective than a biodegradable interference screw only in restoration of the anterior stability of the tibia. LEVEL OF EVIDENCE: Level II, randomized controlled trial.",2012
5,21290116,2011 May,2011 Feb 3,Knee Surg Sports Traumatol Arthrosc,"['Noh JH', 'Yi SR', 'Song SJ', 'Kim SW', 'Kim W']",Kim W,Comparison between hamstring autograft and free tendon Achilles allograft: minimum 2-year follow-up after anterior cruciate ligament reconstruction using EndoButton and Intrafix.,19,5,816-22,['English'],9314730,0942-2056,1433-7347,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['21290116', '10.1007/s00167-010-1388-6']","['2010/07/01 00:00', '2010/12/27 00:00', '2011/02/04 06:00', '2011/02/04 06:00', '2011/09/23 06:00']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1007/s00167-010-1388-6,2011 May;19(5):816-22,10.1007/s00167-010-1388-6,"PURPOSE: This study is to compare the clinical and radiographic results of anterior cruciate ligament (ACL) reconstruction with four-stranded autogenous hamstring tendon and two-stranded free tendon Achilles allograft fixed with EndoButton in the femoral tunnel and Intrafix in the tibial tunnel. MATERIALS AND METHODS: 106 patients diagnosed with ACL rupture underwent ACL reconstruction. Autogenous hamstring tendon was used in 33 patients (group I) and free tendon Achilles allografts were used in 32 patients (group II). Median age was 23 years old (20-51) in group I and 22 years old (20-55) in group II. Range of motion, Lachman test, Pivot shift test, IKDC score, Lysholm score and side-to-side difference (SSD) were evaluated preoperatively and at the last follow-up. Tegner activity scale was evaluated before injury and at the last follow-up. RESULTS: The mean follow-up periods were 28.1 months in group I and 31.6 months in group II. Range of motion of the knee was not different from that of the unaffected side in most cases except one flexion deficit in group I and three in group II (n.s.). One in group I and three in group II showed grade two or three laxity on Lachman test at the last follow-up. One in group I and three in group II showed clear positive results on Pivot shift test at the last follow-up. Thirty in group I and 26 in group II were classified to IKDC A or B at the last follow-up (n.s.). Median Lysholm scores were 98 (85-100) in group I and 99 (85-100) in group II at the last follow-up (n.s.). Median Tegner activity scales were 6 (5-9) in group I and 6 (4-9) in group II at the last follow-up (n.s.). The mean SSD at the last follow-up were 1.4 +/- 2.0 mm in group I and 1.9 +/- 2.4 mm in group II (n.s.). CONCLUSION: Clinical and radiological outcomes of ACL reconstruction with two-stranded free tendon Achilles allograft were comparable to those of four-stranded autogenous hamstring tendon. This technique is reasonable to accomplish good results without some weaknesses when using allograft with bone block. LEVEL OF EVIDENCE: Therapeutic randomized controlled prospective study, Level I.",2011
6,15363236,2004 Aug 22,,Zhonghua Wai Ke Za Zhi,"['Sun K', 'Tang JW', 'Xu Q', 'Liu XY', 'Zhou LG', 'Hao YQ', 'Wang L', 'Sun YJ']",Sun YJ,[A prospective study of the anterior cruciate ligament reconstruction: allograft versus autograft].,42,16,989-92,['Chinese'],0153611,0529-5815,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,['15363236'],"['2004/09/15 05:00', '2006/11/01 09:00', '2004/09/15 05:00']",[],1,0,Zhonghua wai ke za zhi [Chinese journal of surgery],,2004 Aug 22;42(16):989-92,,"OBJECTIVE: To compare the clinical outcomes and differences of arthroscopic anterior cruciate ligament (ACL) reconstruction by using allografts and autografts. METHODS: Fifty-three patients with grade III ACL injuries were divided randomly into 2 groups. Twenty-five cases of group A with autografts of patellar bone-tendon-bone (B-PT-B;n = 15) and 4 strands of semitendinosus/gracilis (n = 10); 28 patients of group B with allografts of B-PT-B (n = 18), 4 strands of semitendinosus/2 strands of gracilis tendons (n = 6) and double tibialis posterior (n = 4) as well as Achilles bone-tendon (n = 2). All procedures were performed endoscopically by some surgeons. All patients were followed up for 12 to 31 months, average 19 months. RESULTS: There were statistically significant differences revealed in physical examination. IKDC and Lysholm-Tegner Score as well as KT-2000 testing was used preoperation and postoperation for both group, but there were no significant differences between the two groups except that group B had less time in operation and longer time in postoperative fever comparing with group A. (2-sample t test, P < 0.05). The KT-2000 side to side difference less than 3 mm were 88% and 86% and more than 5 mm were 4% and 7.1% respectively. The infection rates were 0% and 3.5% for the two groups. CONCLUSION: The clinical outcomes of the allografts and autografts in ACL reconstruction is almost the same. Allografts are a reasonably alternative choice for ACL reconstruction in patients over middle ages and for multiple ligament surgery as well as revision procedures.",2004
