,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract
0,35114581,2022 Mar,2022 Jan 20,J Biomech,"['Zandiyeh P', 'Parola LR', 'Fleming BC', 'Beveridge JE']",Beveridge JE,Wavelet analysis reveals differential lower limb muscle activity patterns long after anterior cruciate ligament reconstruction.,133,,110957,['English'],0157375,0021-9290,1873-2380,"['Journal Article', 'Randomized Controlled Trial', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['35114581', 'NIHMS1775927', 'PMC8893161', 'pmc-id: PMC8893161;manuscript-id: NIHMS1775927;', '10.1016/j.jbiomech.2022.110957', 'S0021-9290(22)00016-1']",10.1016/j.jbiomech.2022.110957,"['2021/06/22 00:00', '2022/01/05 00:00', '2022/01/06 00:00', '2022/02/04 06:00', '2022/03/19 06:00', '2022/02/03 20:17', '2023/03/01 00:00']",[],1,49,Journal of biomechanics,doi: 10.1016/j.jbiomech.2022.110957,2022 Mar;133:110957,"The purpose of this study was to test whether differences in muscle activity patterns between anterior cruciate ligament-reconstructed patients (ACLR) and healthy controls could be detected 10 to 15 years post-surgery using a machine learning classification approach. Eleven ACLR subjects and 12 healthy controls were recruited from an ongoing prospective randomized clinical trial. Surface electromyography (EMG) signals were recorded from gastrocnemius medialis and lateralis, tibialis anterior, vastus medialis, rectus femoris, biceps femoris, and semitendinosus muscles. Muscle activity was analyzed using wavelet analysis and examined within four sub-phases of the hop test, as well as an average of the task as a whole. K-nearest neighbor machine learning combined with a leave-one-out validation was used to classify the muscle activity patterns as either ACLR or Control. When muscle activity was averaged across the whole hop task, activity patterns for all muscles except the tibialis anterior were identified as being different between the study cohorts. ACLR patients demonstrated continuous muscle activities that spanned take-off, airborne, and landing hop phases versus healthy controls who displayed timed and regulated islets of muscle activities specific to each hop phase. The most striking features were 25-50% greater relative quadriceps intensity and approximately 66% diminished biceps femoris intensity in ACLR patients. The current findings are in contrast to previous work using conventional co-contraction and muscle activation onset EMG measures of the same dataset, underscoring the sensitivity and potential of the wavelet approach coupled with machine learning to reveal meaningful adaptation strategies in this at-risk population."
1,31828089,2019,2019 Nov 15,Biomed Res Int,"['Kaya D', 'Guney-Deniz H', 'Sayaca C', 'Calik M', 'Doral MN']",Doral MN,"Effects on Lower Extremity Neuromuscular Control Exercises on Knee Proprioception, Muscle Strength, and Functional Level in Patients with ACL Reconstruction.",2019,,1694695,['English'],101600173,2314-6133,2314-6141,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,,"['31828089', 'PMC6881759', 'pmc-id: PMC6881759;', '10.1155/2019/1694695']",10.1155/2019/1694695,"['2019/10/01 00:00', '2019/10/31 00:00', '2019/12/13 06:00', '2019/12/13 06:00', '2020/04/24 06:00', '2019/11/15 00:00']",[],1,27,BioMed research international,doi: 10.1155/2019/1694695,2019;2019:1694695,"OBJECTIVE: The purpose of this study was to determine the effects of lower extremity motor control exercises on knee proprioception, muscle strength, and functional level in patients with anterior cruciate ligament reconstruction (ACL-R). MATERIALS AND METHODS: Thirty-two of the 57 patients with ACL-R using tibialis anterior allografts were divided into two groups. Group I: lower extremity motor control exercises were added to the standard rehabilitation program. Group II: standard rehabilitation program was applied. Effects of lower extremity motor control exercises on quadriceps and hamstring muscles strength, knee joint position sense, and hop test were evaluated. RESULTS: There were no differences in muscle strength and endurance of the quadriceps and hamstring between the operative and nonoperative sides in Group I (p > 0.05) while there were significant differences in strength of the quadriceps and hamstring between the operative and nonoperative sides in Group II (p < 0.05). There were significant differences in the endurance of the quadriceps and hamstring and knee joint position sense at 15 degrees , 45 degrees , and 75 degrees  between the operative sides of the patients in both groups (p < 0.05). CONCLUSIONS: The neuromuscular control exercises program was found to be more effective in reducing the difference in strength while the standard program was found to be more effective in reducing the difference in endurance between the operated knee and the other knee. This study revealed that neuromuscular control exercises should also be used to improve knee proprioception sense following ACL-R."
2,27876265,2016 Dec,2016 Nov 18,Knee,"['Rose MB', 'Domes C', 'Farooqi M', 'Crawford DC']",Crawford DC,A prospective randomized comparison of two distinct allogenic tissue constructs for anterior cruciate ligament reconstruction.,23,6,1112-1120,['English'],9430798,0968-0160,1873-5800,"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['27876265', '10.1016/j.knee.2016.08.011', 'S0968-0160(16)30144-2']",10.1016/j.knee.2016.08.011,"['2016/04/26 00:00', '2016/08/24 00:00', '2016/08/27 00:00', '2016/11/24 06:00', '2017/08/16 06:00', '2016/11/24 06:00']",[],1,0,The Knee,doi: 10.1016/j.knee.2016.08.011,2016 Dec;23(6):1112-1120,"BACKGROUND: Conduct a prospective randomized study to compare clinical outcomes of anterior cruciate ligament (ACL) reconstruction using quadrupled hamstring tendon (HT) allograft or doubled tibialis anterior (TA) allograft. Limited level 1 data exist comparing outcomes of different soft tissue allograft constructs for ACL reconstruction. We hypothesized no difference would exist in the patient reported outcomes (PRO), arthrometric testing, or rate of re-rupture between the two constructs. METHODS: Ninety eight subjects undergoing primary ACL reconstruction were randomized to HT (n=47) or TA (n=51) allograft. Subjects completed validated (PRO) measures pre-operatively, and six months and two years post-operatively. Arthrometric testing was performed at six months to assess integrity of the reconstruction. RESULTS: Fifty-eight percent of subjects (57/98) completed a two-year follow up. Allograft re-tear rates were similar between groups (6.2% HT vs. 4.0% TA, respectively, p=1.0). The relative risk of re-tear in the HT group was 1.5 compared to the TA group (p=0.7). The TA group improved significantly more on the physical portion of the VR-12 (p=0.046) and Lysholm score (p=0.014) compared to the HT group. There was no difference in the change from baseline for the other PRO scores at two years. CONCLUSIONS: Our data indicate no difference in graft failure rate and similar improvement from baseline in most PRO scores between treatment groups after two years. Based on these findings, TA allograft appears to provide a reliable and satisfactory option for patients who elect to undergo allograft ACL reconstruction."
3,27570169,2017 Jan,2016 Aug 25,Arthroscopy,"['Wasserman BR', 'Singh BC', 'Kaplan DJ', 'Weinberg M', 'Meislin R', 'Jazrawi LM', 'Strauss EJ']",Strauss EJ,Braking Reaction Time After Right-Knee Anterior Cruciate Ligament Reconstruction: A Comparison of 3 Grafts.,33,1,173-180,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['27570169', '10.1016/j.arthro.2016.05.043', 'S0749-8063(16)30367-X']",10.1016/j.arthro.2016.05.043,"['2015/12/03 00:00', '2016/05/27 00:00', '2016/05/31 00:00', '2016/08/30 06:00', '2017/10/25 06:00', '2016/08/30 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2016.05.043,2017 Jan;33(1):173-180,"PURPOSE: To determine when patients recover the ability to safely operate the brakes of an automobile after a right-knee anterior cruciate ligament reconstruction (ACLR). METHODS: A computerized driving simulator was used to determine braking ability after an isolated right-knee ACLR. Thirty healthy volunteers were tested at 1 visit to determine normal mean values, and 27 treatment subjects were tested at 1 week, 3 weeks, and 6 weeks after ACLR. Nine study subjects were treated with a patella tendon (BPTB) autograft, 9 were treated with a hamstring (HS) autograft, and 9 were treated with a tibialis anterior (TA) allograft. The driving simulator collected data on brake reaction time (BRT), brake travel time (BTT), and total brake time (TBT) at each visit. RESULTS: The control group generated a BRT of 725 milliseconds, BTT of 2.87 seconds, and TBT of 3.59 seconds. At week 1, all treatment patients had significant differences compared with controls for BRT, BTT, and TBT, except the BTT of the HS group. At week 3, all measures for the allograft group and the BRT for both autograft groups were no longer significantly different compared with controls, but significant differences were found for TBT in the HS and BPTB groups (P = .03, P = .01). At week 6, BRT, BTT, and TBT were no longer significantly different for either the HS group or BPTB group. CONCLUSIONS: Patients who underwent a right-knee ACLR with a TA allograft regained normal braking times by week 3 postoperatively. In contrast, those treated with a BPTB or HS autograft demonstrated significantly delayed braking times at 3 weeks but returned to normal braking ability by week 6. Those treated with an autograft had an earlier return of normalized BRT than BTT. LEVEL OF EVIDENCE: Level III, case-control series."
4,26311445,2015 Oct,2015 Aug 26,Am J Sports Med,"['Bottoni CR', 'Smith EL', 'Shaha J', 'Shaha SS', 'Raybin SG', 'Tokish JM', 'Rowles DJ']",Rowles DJ,"Autograft Versus Allograft Anterior Cruciate Ligament Reconstruction: A Prospective, Randomized Clinical Study With a Minimum 10-Year Follow-up.",43,10,2501-9,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['26311445', '10.1177/0363546515596406', '0363546515596406']",10.1177/0363546515596406,"['2015/08/28 06:00', '2015/08/28 06:00', '2016/05/04 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546515596406,2015 Oct;43(10):2501-9,"BACKGROUND: The use of allografts for anterior cruciate ligament (ACL) reconstruction in young athletes is controversial. No long-term results have been published comparing tibialis posterior allografts to hamstring autografts. PURPOSE: To evaluate the long-term results of primary ACL reconstruction using either an allograft or autograft. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: From June 2002 to August 2003, patients with a symptomatic ACL-deficient knee were randomized to receive either a hamstring autograft or tibialis posterior allograft. All allografts were from a single tissue bank, aseptically processed, and fresh-frozen without terminal irradiation. Graft fixation was identical in all knees. All patients followed the same postoperative rehabilitation protocol, which was blinded to the therapists. Preoperative and postoperative assessments were performed via examination and/or telephone and Internet-based questionnaire to ascertain the functional and subjective status using established knee metrics. The primary outcome measures were graft integrity, subjective knee stability, and functional status. RESULTS: There were 99 patients (100 knees); 86 were men, and 95% were active-duty military. Both groups were similar in demographics and preoperative activity level. The mean and median ages of both groups were identical at 29 and 26 years, respectively. Concomitant meniscal and chondral pathologic abnormalities, microfracture, and meniscal repair performed at the time of reconstruction were similar in both groups. At a minimum of 10 years (range, 120-132 months) from surgery, 96 patients (97 knees) were contacted (2 patients were deceased, and 1 was unable to be located). There were 4 (8.3%) autograft and 13 (26.5%) allograft failures that required revision reconstruction. In the remaining patients whose graft was intact, there was no difference in the mean Single Assessment Numeric Evaluation, Tegner, or International Knee Documentation Committee scores. CONCLUSION: At a minimum of 10 years after ACL reconstruction in a young athletic population, over 80% of all grafts were intact and had maintained stability. However, those patients who had an allograft failed at a rate over 3 times higher than those with an autograft."
5,25891223,2015 Jul,2015 Apr 17,Arthroscopy,"['Li J', 'Wang J', 'Li Y', 'Shao D', 'You X', 'Shen Y']",Shen Y,"A Prospective Randomized Study of Anterior Cruciate Ligament Reconstruction With Autograft, γ-Irradiated Allograft, and Hybrid Graft.",31,7,1296-302,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['25891223', '10.1016/j.arthro.2015.02.033', 'S0749-8063(15)00142-5']",10.1016/j.arthro.2015.02.033,"['2014/06/17 00:00', '2015/02/01 00:00', '2015/02/17 00:00', '2015/04/21 06:00', '2015/04/22 06:00', '2016/02/03 06:00']",[],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2015.02.033,2015 Jul;31(7):1296-302,"PURPOSE: To compare the results of patients who underwent anterior cruciate ligament (ACL) reconstruction with autograft, gamma-irradiated allograft, or hybrid graft in a prospective randomized study with a minimum clinical follow-up period of 5 years. METHODS: In this prospective, randomized, comparative study, 102 patients with ACL tears underwent ACL reconstruction with autograft (gracilis and semitendinosus tendons), gamma-irradiated allograft (tibialis anterior tendons), or hybrid graft (gamma-irradiated tibialis anterior tendon allograft and semitendinosus tendon autograft). Laboratory testing of the erythrocyte sedimentation rate and C-reaction protein level were performed; clinical results were evaluated with the KT-1000 arthrometer (MEDmetric, San Diego, CA), Lachman test, Lysholm score, Tegner activity score, and International Knee Documentation Committee evaluation (both objective and subjective). RESULTS: There were 32 patients in the autograft group, 31 in the hybrid graft group, and 32 in the gamma-irradiated allograft group at last follow-up. No differences were found among the 3 groups regarding patient demographic data and the duration from injury to operation (P > .05). The C-reaction protein and erythrocyte sedimentation rate values were statistically higher in the gamma-irradiated allograft group than in the other 2 groups on the third, seventh, and fourteenth days (P < .05). No significant differences were found between the autograft and hybrid graft groups (P > .05). The KT-1000 examination showed more anterior laxity in the gamma-irradiated allograft group than in the other 2 groups (P < .05). No significant differences in the Lachman test and pivot-shift test findings were found among the 3 groups (P > .05). The Lysholm score, Tegner activity score, and International Knee Documentation Committee evaluation (subjective and objective) showed no differences among the 3 groups (P > .05). CONCLUSIONS: Patients undergoing primary ACL reconstruction with hybrid graft or autograft had satisfactory and similar objective and subjective clinical results. On KT-1000 measurement of anteroposterior knee laxity, both the autograft and hybrid graft groups showed statistically significant differences compared with the gamma-irradiated allograft group. LEVEL OF EVIDENCE: Level II, prospective comparative study."
6,15363236,2004 Aug 22,,Zhonghua Wai Ke Za Zhi,"['Sun K', 'Tang JW', 'Xu Q', 'Liu XY', 'Zhou LG', 'Hao YQ', 'Wang L', 'Sun YJ']",Sun YJ,[A prospective study of the anterior cruciate ligament reconstruction: allograft versus autograft].,42,16,989-92,['Chinese'],0153611,0529-5815,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,['15363236'],,"['2004/09/15 05:00', '2006/11/01 09:00', '2004/09/15 05:00']",[],1,0,Zhonghua wai ke za zhi [Chinese journal of surgery],,2004 Aug 22;42(16):989-92,"OBJECTIVE: To compare the clinical outcomes and differences of arthroscopic anterior cruciate ligament (ACL) reconstruction by using allografts and autografts. METHODS: Fifty-three patients with grade III ACL injuries were divided randomly into 2 groups. Twenty-five cases of group A with autografts of patellar bone-tendon-bone (B-PT-B;n = 15) and 4 strands of semitendinosus/gracilis (n = 10); 28 patients of group B with allografts of B-PT-B (n = 18), 4 strands of semitendinosus/2 strands of gracilis tendons (n = 6) and double tibialis posterior (n = 4) as well as Achilles bone-tendon (n = 2). All procedures were performed endoscopically by some surgeons. All patients were followed up for 12 to 31 months, average 19 months. RESULTS: There were statistically significant differences revealed in physical examination. IKDC and Lysholm-Tegner Score as well as KT-2000 testing was used preoperation and postoperation for both group, but there were no significant differences between the two groups except that group B had less time in operation and longer time in postoperative fever comparing with group A. (2-sample t test, P < 0.05). The KT-2000 side to side difference less than 3 mm were 88% and 86% and more than 5 mm were 4% and 7.1% respectively. The infection rates were 0% and 3.5% for the two groups. CONCLUSION: The clinical outcomes of the allografts and autografts in ACL reconstruction is almost the same. Allografts are a reasonably alternative choice for ACL reconstruction in patients over middle ages and for multiple ligament surgery as well as revision procedures."
